Title,Artist,Year,Ranking2003,Ranking2012,Ranking2020,Ranking_Avg
To Pimp a Butterfly,Kendrick Lamar,2015,,,19,19
Lemonade,Beyoncé,2016,,,32,32
Hounds of Love,Kate Bush,1985,,,68,68
Jagged Little Pill,Alanis Morrissette,1995,,,69,69
Blonde,Frank Ocean,2016,,,79,79
Beyoncé,Beyoncé,2013,,,81,81
Baduizm,Erykah Badu,1997,,,89,89
Supa Dupa Fly,"Missy ""Misdemeanor"" Elliott",1997,,,93,93
Take Care,Drake,2011,,,95,95
Red,Taylor Swift,2012,,,99,99
When the Pawn...,Fiona Apple,1999,,,108,108
Control,Janet Jackson,1986,,,111,111
"good kid, m.A.A.d city",Kendrick Lamar,2012,,,115,115
Hejira,Joni Mitchell,1976,,,133,133
21,Adele,2011,,,137,137
Channel Orange,Frank Ocean,2012,,,148,148
Amazing Grace,Aretha Franklin,1972,,,154,154
Mama's Gun,Erykah Badu,2000,,,158,158
Different Class,Pulp,1995,,,162,162
DAMN.,Kendrick Lamar,2017,,,175,175
Brown Sugar,D'Angelo,1995,,,183,183
AmeriKKKa's Most Wanted,Ice Cube,1990,,,187,187
Songs of Leonard Cohen,Leonard Cohen,1967,,,195,195
Body Talk,Robyn,2010,,,196,196
Diamond Life,Sade,1984,,,200,200
"King Of The Delta Blues Singers, Vol.1",Robert Johnson,1961,27,,374,200
Midnight Marauders,A Tribe Called Quest,1993,,,201,201
Homogenic,Björk,1997,,,202,202
Graduation,Kanye West,2007,,,204,204
Unknown Pleasures,Joy Division,1980,,,211,211
Wild Is the Wind,Nina Simone,1966,,,212,212
The Idler Wheel...,Fiona Apple,2012,,,213,213
Wildflowers,Tom Petty,1994,,,214,214
Either/Or,Elliott Smith,1997,,,216,216
Definitely Maybe,Oasis,1994,,,217,217
Fly,Dixie Chicks,1999,,,224,224
De La Soul Is Dead,De La Soul,1991,,,228,228
Anti,Rihanna,2016,,,230,230
Little Earthquakes,Tori Amos,1992,,,233,233
Discovery,Daft Punk,2001,,,236,236
808s & Heartbreak,Kanye West,2008,,,244,244
Heaven or Las Vegas,Cocteau Twins,1990,,,245,245
Mama Said Knock You Out,LL Cool J,1991,,,246,246
Love Deluxe,Sade,1992,,,247,247
Head Hunters,Herbie Hancock,1973,,,254,254
The Hissing of Summer Lawns,Joni Mitchell,1975,,,258,258
Cut,The Slits,1979,,,260,260
Check Your Head,Beastie Boys,1992,,,261,261
"Power, Corruption & Lies",New Order,1983,,,262,262
Wowee Zowee,Pavement,1995,,,265,265
Yeezus,Kanye West,2013,,,269,269
Golden Hour,Kacey Musgraves,2018,,,270,270
What's the 411?,Mary J. Blige,1992,,,271,271
Curtis,Curtis Mayfield,1970,,,275,275
The Diary of Alicia Keys,Alicia Keys,2003,,,277,277
Get Rich or Die Tryin',50 Cent,2002,,,280,280
Nilsson Schmilsson,Harry Nilsson,1971,,,281,281
Bad Girls,Donna Summer,1975,,,283,283
Speakerboxxx/The Love Below,OutKast,2003,,,290,290
The Writing's on the Wall,Destiny's Child,1999,,,291,291
Last Splash,The Breeders,1993,,,293,293
Random Access Memories,Daft Punk,2013,,,295,295
Full Moon Fever,Tom Petty,1989,,,298,298
Come On Over,Shania Twain,1997,,,300,300
Just As I Am,Bill Withers,1971,,,304,304
On the Beach,Neil Young,1974,,,311,311
A Seat at the Table,Solange,2016,,,312,312
One in a Million,Aaliyah,1996,,,314,314
El Mal Querer,Rosalía,2018,,,315,315
Lady in Satin,Billie Holiday,1958,,,317,317
Norman Fucking Rockwell!,Lana Del Rey,2019,,,321,321
Avalon,Roxy Music,1982,307,,336,321
Heart Like A Wheel,Linda Ronstadt,1974,164,,490,327
Modern Vampires of the City,Vampire Weekend,2013,,,328,328
Endtroducing...,DJ Shadow,1996,,,329,329
Still Bill,Bill Withers,1972,,,333,333
Cosmo's Factory,Creedence Clearwater Revival,1970,265,,413,339
Doggystyle,Snoop Doggy Dogg,1993,,,340,340
Criminal Minded,Boogie Down Productions,1987,444,,239,341
Liquid Swords,GZA,1995,,,347,347
Time (The Revelator),Gillian Welch,2001,,,348,348
Germfree Adolescents,X-Ray Spex,1978,,,354,354
Goo,Sonic Youth,1990,,,358,358
The Black Parade,My Chemical Romance,2006,,,361,361
Never Too Much,Luther Vandross,1981,,,362,362
Madvillainy,Madvillain,2004,,,365,365
If You're Reading This It's Too Late,Drake,2015,,,367,367
The Infamous,Mobb Deep,1995,,,369,369
Hot Buttered Soul,Isaac Hayes,1969,,,373,373
In the Aeroplane Over the Sea,Neutral Milk Hotel,1998,,,376,376
Fever to Tell,Yeah Yeah Yeahs,2003,,,377,377
Moving Pictures,Rush,1981,,,379,379
Mingus Ah Um,Charles Mingus,1959,,,380,380
Currents,Tame Impala,2015,,,382,382
Donuts,J Dilla,2006,,,386,386
"Young, Gifted and Black",Aretha Franklin,1972,,,388,388
The Emancipation of Mimi,Mariah Carey,2005,,,389,389
Kaleidoscope,Kelis,1999,,,391,391
1989,Taylor Swift,2014,,,393,393
Diana,Diana Ross,1980,,,394,394
Black Messiah,D'Angelo and the Vanguard,2014,,,395,395
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,2019,,,397,397
Mezzanine,Massive Attack,1998,412,,383,397
The Raincoats,The Raincoats,1979,,,398,398
Smile,Brian Wilson,2004,,,399,399
Blondie,Blondie,1977,,,401,401
Expensive Shit,Fela Kuti & Africa 70,1975,,,402,402
Supreme Clientele,Ghostface Killah,2000,,,403,403
Rapture,Anita Baker,1986,,,404,404
Ace of Spades,Motörhead,1980,,,408,408
Wild Honey,The Beach Boys,1967,,,410,410
Risqué,Chic,1979,,,414,414
Looka Py Py,The Meters,1969,,,415,415
Things Fall Apart,The Roots,1999,,,416,416
Chief,Eric Church,2011,,,419,419
Arular,M.I.A.,2005,,,421,421
I Can Hear the Heart Beating As One,Yo La Tengo,1997,,,423,423
Lucinda Williams,Lucinda Williams,1988,,,426,426
Reach Out,The Four Tops,1967,,,429,429
Confessions,Usher,2004,,,432,432
Actually,Pet Shop Boys,1987,,,435,435
All Eyez on Me,2Pac,1996,,,436,436
Screamadelica,Primal Scream,1991,,,437,437
Parklife,Blur,1994,,,438,438
Sex Machine,James Brown,1970,,,439,439
Coal Miner's Daughter,Loretta Lynn,1971,,,440,440
Blackout,Britney Spears,2007,,,441,441
Beauty Behind the Madness,The Weeknd,2015,,,442,442
Scary Monsters,David Bowie,1980,,,443,443
Extraordinary Machine,Fiona Apple,2005,,,444,444
Close to the Edge,Yes,1972,,,445,445
